이벤트 이름,운영기간
오픈 이벤트,2025.08.30~2025.09.05
활동률 이벤트,2025.09.10~진행중
개천에서이모지가?,2025.10.02~.2025.10.03
현생현?! 인생인?!,2025.10.06
텔레파시 이벤트,2025.10.07
고해성사 라디오,2025.10.08
고독한 대장장이,2025.10.17~2025.10.19
할로윈 이벤트,2025.10.29~2025.11.02
수능응원편지,2025.11.09~2025.11.13
빼빼로 룰렛,2025.11.11
N행시 이벤트,2025.11.20~2025.11.21
고위직 나락 QnA,2025.11.22
별빛 퀘스트,2025.11.25~2025.11.29
친구초대 이벤트,2025.11.30~2025.12.31
별빛 기억 조각,2025.12.06
마니또 이벤트,2025.12.13~2025.12.27
별빛 트리 꾸미기,2025.12.22~2025.12.25
별빛 튜토리얼,2025.12.27~진행중
